Country_New,"Gross enrolment ratio, primary, both sexes (%)","Gross enrolment ratio, secondary, both sexes (%)","Gross enrolment ratio, tertiary, both sexes (%)",Gini index (World Bank estimate),Poverty headcount ratio at $1.90 a day (2011 PPP) (% of population),Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),2015-2010 change survival between 30-70,2015-2010 change adolescent birth rate,2015-2010 change basic sanitation,2015-2010 change clean fuels,classification
Chile,-1.6414031982420028,6.072479248046591,18.903182983398295,0.0,0.0,0.0,0.0,-0.8000000000000007,-12.899999999999999,2.319999999999993,0.0,2
China,-8.348793029785014,9.378051757812514,19.443849563598608,-5.100000000000001,-10.5,-21.6,-26.3,-0.7000000000000028,3.299999999999999,8.13000000000001,7.0,2
Colombia,-10.721916198730995,-3.9287643432617188,16.2481689453125,-3.6000000000000014,-3.2,-6.6,-9.5,-1.4000000000000004,0.0,5.25,5.0,2
Comoros,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,1.490000000000002,1.0,1
Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.700000000000003,0.0,2.8000000000000043,9.0,1
Cook Islands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2800000000000011,-2.0,1
Costa Rica,-7.176544189453011,20.90042114257801,0.0,0.19999999999999574,-0.10000000000000009,-0.10000000000000053,-1.1999999999999993,-1.4000000000000004,-6.899999999999999,1.5300000000000011,2.0,1
Croatia,6.171401977539205,-2.497436523437301,14.3801689147949,-1.2999999999999972,-0.6,-0.9999999999999998,-0.7999999999999998,-1.6000000000000014,-2.8000000000000007,0.11999999999999034,-1.0,2
Cuba,-4.877090454102003,8.510604858398608,-60.77769851684571,0.0,0.0,0.0,0.0,-1.0,-1.7999999999999972,2.230000000000004,0.0,1
Cyprus,-2.324211120605213,8.337509155273523,11.789649963378892,2.5,0.0,0.0,-0.1,-0.3000000000000007,-1.1999999999999993,-0.25,0.0,2
Czech,-4.2522354125974005,10.732826232909801,0.9477310180664062,-0.7000000000000028,0.0,-0.1,-0.39999999999999997,-2.1999999999999993,0.09999999999999964,0.0,0.0,1
Democratic People's Republic of Korea,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,0.0,3.6400000000000006,3.0,1
Denmark,1.9108734130864207,11.25534820556598,9.167320251464915,1.0,0.1,0.1,0.2,-1.700000000000001,-1.3000000000000003,0.0,0.0,2
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3999999999999986,0.0,6.25,0.0,1
Dominica,7.200981140137003,3.5537948608399006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2600000000000051,0.0,1
Dominican Republic,-3.9555816650389772,1.8052597045899006,0.0,-2.0999999999999943,-0.7,-5.6,-10.0,-0.5,0.0,1.7900000000000063,1.0,1
East Asia & Pacific,0.0,0.0,0.0,0.0,-8.700000000000001,-18.1,-21.300000000000004,0.0,0.0,0.0,0.0,1
Ecuador,-2.0146255493160083,18.961753845215313,0.0,-2.799999999999997,-2.2,-5.5,-9.7,-0.40000000000000036,0.0,5.539999999999992,0.0,1
Egypt,0.0,0.0,5.328727722168001,1.6000000000000014,-0.6000000000000001,-5.5,-6.099999999999994,0.1999999999999993,0.0,0.5699999999999932,0.0,1
El Salvador,-11.70009613037098,7.404556274414091,2.7720890045166016,-2.8999999999999986,-3.7,-8.100000000000001,-9.5,-0.5999999999999996,0.0,1.25,9.0,1
Equatorial Guinea,-2.441665649414105,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,2.3500000000000085,1.0,1
Eritrea,0.7041091918945028,-3.5543689727783025,0.0,0.0,0.0,0.0,0.0,-0.6000000000000014,0.0,0.6400000000000006,1.0,1
Estonia,-4.626747131347713,9.881980895995994,1.361869812011804,0.7000000000000028,-0.09999999999999998,-0.7000000000000001,-2.0999999999999996,-2.700000000000003,-5.0,-0.20000000000000284,0.0,1
